"File","Id","MatchPercent","Lines","OssLines","Hits","Vendor","Component","Version","Latest","Licenses","Copyleft","Purl","Url","OssFile","Status"
"web/src/features/data-migration/useDataMigrationNotice.ts","snippet","62","4-26","2-24","3","kensaku63","aachat-releases","v1.2.4","v1.2.4","MIT","no","pkg:github/kensaku63/aachat-releases","https://github.com/kensaku63/aachat-releases","web/src/lib/queries/projects.ts","pending"
"web/src/features/gamepad/gamepad-storage.test.ts","snippet","12","74-85","66-77","4","syobon211","vivi2d","v0.1.0-alpha.1","v0.1.0-alpha.2","MIT, Apache-2.0","no, no","pkg:github/syobon211/vivi2d, pkg:npm/%40vivi2d/web","https://github.com/syobon211/vivi2d","src/stores/__tests__/themeStore-branch.test.ts","pending"
"web/src/features/mycombo/components/CharacterInfoBar.tsx","snippet","33","23-36","596-609","3","AlbWud","proxycast","v0.27.0","v0.27.0","","","pkg:github/albwud/proxycast","https://github.com/AlbWud/proxycast","src/components/provider-pool/CredentialCard.tsx","pending"
"web/src/features/mycombo/components/MyComboStatusSelect.test.tsx","snippet","48","10-21,53-81","41-52,119-147","11","jfolcini","agaric","0.1.3","0.1.3","GPL-3.0-only","yes","pkg:github/jfolcini/agaric","https://github.com/jfolcini/agaric","src/components/ui/__tests__/select.test.tsx","pending"
"web/src/features/navigation-guard/dirty.ts","snippet","47","15-36","49-70","2","vanillagreen","@vanillagreen/pi-claude-bridge","1.3.0","1.8.0","MIT","no","pkg:npm/%40vanillagreen/pi-claude-bridge, pkg:github/vanillagreencom/kendex","https://www.npmjs.com/package/%40vanillagreen/pi-claude-bridge","src/query-state.ts","pending"
"web/src/features/onboarding/OnboardingBanner.test.tsx","snippet","35","17-32","524-539","5","golang","github.com/seanbao/mnemonas","v0.0.0-20260628155900-db08e4a2032f","v0.0.0-20260628155900-db08e4a2032f","MIT","no","pkg:golang/github.com/seanbao/mnemonas, pkg:github/seanbao/mnemonas","https://proxy.golang.org/github.com/seanbao/mnemonas/@v/v0.0.0-20260628155900-db08e4a2032f.zip","web/src/pages/Trash.test.tsx","pending"
"web/src/features/preset/components/PresetCopyDialog.tsx","snippet","23","76-100","8688-8712","5","chumpmaterial","maps-by-any-means","0.6.0","0.6.0","","","pkg:github/chumpmaterial/maps-by-any-means","https://github.com/chumpmaterial/maps-by-any-means","react/src/components/CampaignMapView.tsx","pending"
"web/src/features/preset/components/PresetDeleteConfirmDialog.tsx","snippet","50","35-71","787-823","12","wedosoft","homepage","v1.0","v1.0","MIT","no","pkg:github/wedosoft/homepage","https://github.com/wedosoft/homepage","app/admin/page.tsx","pending"
"web/src/features/setup/hooks/useCharacterSetups.test.ts","snippet","89","4-37","6-39","6","golang","github.com/jaegertracing/jaeger-ui","v2.20.0+incompatible","v2.20.0+incompatible","Apache-2.0","no","pkg:golang/github.com/jaegertracing/jaeger-ui, pkg:github/jaegertracing/jaeger-ui, pkg:npm/gloo-jaeger-ui","https://proxy.golang.org/github.com/jaegertracing/jaeger-ui/@v/v2.20.0+incompatible.zip","packages/jaeger-ui/src/hooks/useTraceDiscovery.test.ts","pending"
"web/src/features/setup/hooks/useCreateSetup.test.ts","snippet","81","3-42","3-42","9","golang","github.com/stoa-platform/stoa","v2.2.0+incompatible","v2.2.0+incompatible","Apache-2.0, MIT, ISC, MIT-0, BSD-3-Clause, BSD-2-Clause, CC-BY-4.0, BSD-2-Clause-Views, CC-BY-SA-4.0, CC0-1.0, BlueOak-1.0.0, 0BSD, MPL-2.0","no, no, no, no, no, no, , , , , no, no, yes","pkg:golang/github.com/stoa-platform/stoa, pkg:github/stoa-platform/stoa","https://proxy.golang.org/github.com/stoa-platform/stoa/@v/v2.2.0+incompatible.zip","control-plane-ui/src/hooks/useProspects.test.ts","pending"
"web/src/features/setup/hooks/useDeleteSetup.test.ts","snippet","83","4-65","8-69","8","jhonslife","GIRO","v2.0.2","v2.0.2","JSON","","pkg:github/jhonslife/giro","https://github.com/jhonslife/GIRO","apps/desktop/src/hooks/enterprise/__tests__/useActivities.test.ts","pending"
"web/src/features/setup/hooks/useSetup.test.ts","snippet","67","3-36","3-36","10","golang","github.com/stoa-platform/stoa","v2.2.0+incompatible","v2.2.0+incompatible","Apache-2.0, MIT, ISC, MIT-0, BSD-3-Clause, BSD-2-Clause, CC-BY-4.0, BSD-2-Clause-Views, CC-BY-SA-4.0, CC0-1.0, BlueOak-1.0.0, 0BSD, MPL-2.0","no, no, no, no, no, no, , , , , no, no, yes","pkg:golang/github.com/stoa-platform/stoa, pkg:github/stoa-platform/stoa","https://proxy.golang.org/github.com/stoa-platform/stoa/@v/v2.2.0+incompatible.zip","control-plane-ui/src/hooks/useAdminRoles.test.ts","pending"
"web/src/features/setup/hooks/useSetupAccordionActions.test.ts","snippet","43","3-24","5-26","5","ofsazib","floci-dash","v0.0.84","v0.0.100","MIT","no","pkg:github/ofsazib/floci-dash","https://github.com/ofsazib/floci-dash","src/frontend/hooks/useBCMDataExports.test.ts","pending"
"web/src/features/setup/hooks/useSetupCandidates.test.ts","snippet","94","3-57","3-57","8","bluewave-labs","verifywise","v2.3.1","v2.4.1","ISC","no","pkg:github/bluewave-labs/verifywise","https://github.com/bluewave-labs/verifywise","Clients/src/application/hooks/__tests__/useTaskEntityLinks.test.ts","pending"
"web/src/features/setup/hooks/useSetupLinks.test.ts","snippet","37","34-54","262-282","5","g1331","AutoRouter","v0.1.0","v0.1.0","AGPL-3.0","","pkg:github/g1331/autorouter","https://github.com/g1331/AutoRouter","tests/unit/hooks/use-upstreams.test.ts","pending"
